node_id,haplotype_count,path_fraction,predecessor_consistency,successor_consistency,local_consistency,consistency_score,status
n107,36,1.0,1.0,1.0,1.0,1.0,shared
n108,36,1.0,1.0,1.0,1.0,1.0,shared
n109,36,1.0,1.0,1.0,1.0,1.0,shared
n110,36,1.0,1.0,1.0,1.0,1.0,shared
n111,36,1.0,1.0,1.0,1.0,1.0,shared
n112,36,1.0,1.0,1.0,1.0,1.0,shared
n113,36,1.0,1.0,1.0,1.0,1.0,shared
n114,36,1.0,0.5,0.5,1.0,0.75,shared
n115,36,1.0,1.0,1.0,1.0,1.0,shared
n116,36,1.0,1.0,1.0,1.0,1.0,shared
n117,36,1.0,1.0,1.0,1.0,1.0,shared
n118,36,1.0,1.0,1.0,1.0,1.0,shared
n119,36,1.0,1.0,1.0,1.0,1.0,shared
n120,36,1.0,0.3333333333333333,0.6666666666666666,1.0,0.75,shared
n121,36,1.0,0.5,0.5,1.0,0.75,shared
n122,36,1.0,1.0,1.0,1.0,1.0,shared
n123,36,1.0,1.0,1.0,1.0,1.0,shared
n124,36,1.0,1.0,1.0,1.0,1.0,shared
n125,36,1.0,1.0,1.0,1.0,1.0,shared
n126,36,1.0,1.0,1.0,1.0,1.0,shared
n127,36,1.0,1.0,1.0,1.0,1.0,shared
n128,36,1.0,1.0,1.0,1.0,1.0,shared
n129,36,1.0,0.5,0.5,1.0,0.75,shared
n130,36,1.0,0.5,0.5,1.0,0.75,shared
n131,36,1.0,1.0,1.0,1.0,1.0,shared
n132,36,1.0,0.5,0.5,1.0,0.75,shared
n133,36,1.0,1.0,1.0,1.0,1.0,shared
n134,36,1.0,1.0,1.0,1.0,1.0,shared
n135,36,1.0,1.0,1.0,1.0,1.0,shared
n136,36,1.0,1.0,1.0,1.0,1.0,shared
n137,36,1.0,1.0,1.0,1.0,1.0,shared
n138,36,1.0,0.5,0.5,1.0,0.75,shared
n139,36,1.0,1.0,1.0,1.0,1.0,shared
n140,36,1.0,1.0,1.0,1.0,1.0,shared
n141,36,1.0,0.5,0.5,1.0,0.75,shared
n142,36,1.0,0.5,0.5,1.0,0.75,shared
n143,36,1.0,1.0,1.0,1.0,1.0,shared
n144,36,1.0,0.5,0.5,1.0,0.75,shared
n145,36,1.0,1.0,1.0,1.0,1.0,shared
n146,36,1.0,1.0,1.0,1.0,1.0,shared
n147,36,1.0,1.0,1.0,1.0,1.0,shared
n148,36,1.0,1.0,1.0,1.0,1.0,shared
n149,36,1.0,0.5,0.5,1.0,0.75,shared
n150,36,1.0,0.25,0.25,1.0,0.625,shared
n151,36,1.0,1.0,1.0,1.0,1.0,shared
n152,36,1.0,0.5,0.5,1.0,0.75,shared
n153,36,1.0,1.0,0.5,1.0,0.875,shared
n154,36,1.0,0.5,0.5,1.0,0.75,shared
n155,36,1.0,1.0,1.0,1.0,1.0,shared
n156,36,1.0,1.0,1.0,1.0,1.0,shared
n157,36,1.0,0.5,0.5,1.0,0.75,shared
n158,36,1.0,0.15789473684210525,0.3684210526315789,1.0,0.631578947368421,shared
n159,36,1.0,0.5,0.5,1.0,0.75,shared
n160,36,1.0,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,shared
n161,36,1.0,0.25,0.25,1.0,0.625,shared
n162,36,1.0,1.0,1.0,1.0,1.0,shared
n163,35,0.9722222222222222,1.0,1.0,1.0,0.9930555555555556,shared
n164,36,1.0,1.0,1.0,1.0,1.0,shared
n165,36,1.0,0.3333333333333333,0.6666666666666666,1.0,0.75,shared
n166,36,1.0,1.0,1.0,1.0,1.0,shared
n167,36,1.0,1.0,1.0,1.0,1.0,shared
n168,36,1.0,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,shared
n169,36,1.0,1.0,1.0,1.0,1.0,shared
n170,36,1.0,1.0,1.0,1.0,1.0,shared
n171,36,1.0,1.0,1.0,1.0,1.0,shared
n172,36,1.0,0.5,0.5,1.0,0.75,shared
n173,36,1.0,1.0,1.0,1.0,1.0,shared
n174,36,1.0,1.0,1.0,1.0,1.0,shared
n175,36,1.0,1.0,1.0,1.0,1.0,shared
n176,36,1.0,1.0,1.0,1.0,1.0,shared
