source,target,haplotype_count,path_support_fraction,source_transition_agreement,consistency_score
n10093,n46745,36,1.0,1.0,1.0
n10094,n30120,36,1.0,1.0,1.0
n10095,n30126,36,1.0,1.0,1.0
n10096,n30129,36,1.0,1.0,1.0
n10097,n48834,36,1.0,1.0,1.0
n10098,n48889,36,1.0,1.0,1.0
n10099,n16456,36,1.0,1.0,1.0
n101,n5184,36,1.0,1.0,1.0
n1010,n64319,36,1.0,1.0,1.0
n10100,n26932,36,1.0,1.0,1.0
n10101,n16714,36,1.0,1.0,1.0
n10102,n29553,36,1.0,1.0,1.0
n10103,n29583,36,1.0,1.0,1.0
n10104,n7949,36,1.0,1.0,1.0
n10104,n7982,36,1.0,1.0,1.0
n10105,n17966,36,1.0,1.0,1.0
n10106,n20301,36,1.0,1.0,1.0
n10107,n29668,36,1.0,1.0,1.0
n10108,n19032,36,1.0,1.0,1.0
n10109,n60134,36,1.0,1.0,1.0
n1011,n20617,36,1.0,1.0,1.0
n10110,n19583,36,1.0,1.0,1.0
n10111,n19992,36,1.0,1.0,1.0
n10111,n27798,36,1.0,1.0,1.0
n10112,n62352,36,1.0,1.0,1.0
n10113,n20256,36,1.0,1.0,1.0
n10114,n20374,36,1.0,1.0,1.0
n10115,n29803,36,1.0,1.0,1.0
n10116,n28299,36,1.0,1.0,1.0
n10117,n69252,36,1.0,1.0,1.0
n10118,n29855,36,1.0,1.0,1.0
n10119,n28355,36,1.0,1.0,1.0
n1012,n20693,36,1.0,1.0,1.0
n10120,n29864,36,1.0,1.0,1.0
n10121,n29925,36,1.0,1.0,1.0
n10122,n29970,36,1.0,1.0,1.0
n10123,n30012,36,1.0,1.0,1.0
n10124,n29147,36,1.0,1.0,1.0
n10125,n10669,36,1.0,1.0,1.0
n10126,n30237,36,1.0,1.0,1.0
n10127,n30239,36,1.0,1.0,1.0
n10128,n25593,36,1.0,1.0,1.0
n10129,n29223,36,1.0,1.0,1.0
n1013,n49044,36,1.0,1.0,1.0
