source,target,haplotype_count,path_support_fraction,source_transition_agreement,consistency_score
n7150,n14082,4,1.0,1.0,1.0
n7151,n10721,4,1.0,1.0,1.0
n7152,n5914,4,1.0,1.0,1.0
n7153,n951,4,1.0,1.0,1.0
n7154,n12709,4,1.0,1.0,1.0
n7155,n12726,4,1.0,1.0,1.0
n7156,n6435,3,0.75,1.0,0.875
n7157,n5634,4,1.0,1.0,1.0
n7158,n12804,3,0.75,1.0,0.875
n7159,n7222,4,1.0,1.0,1.0
n716,n9608,4,1.0,1.0,1.0
n7160,n10795,4,1.0,1.0,1.0
n7161,n6858,4,1.0,1.0,1.0
n7162,n14105,4,1.0,1.0,1.0
n7163,n12949,4,1.0,1.0,1.0
n7164,n14592,4,1.0,1.0,1.0
n7165,n10821,3,0.75,1.0,0.875
n7166,n13969,3,0.75,1.0,0.875
n7167,n14140,3,0.75,1.0,0.875
n7168,n12505,3,0.75,1.0,0.875
n7169,n13397,3,0.75,1.0,0.875
n717,n10112,4,1.0,1.0,1.0
n7170,n8624,4,1.0,1.0,1.0
n7171,n10926,3,0.75,1.0,0.875
n7172,n8691,4,1.0,1.0,1.0
n7173,n14158,3,0.75,1.0,0.875
n7174,n13893,3,0.75,1.0,0.875
n7175,n10988,4,1.0,1.0,1.0
n7176,n14181,4,1.0,1.0,1.0
n7177,n14184,4,1.0,1.0,1.0
n7178,n13779,4,1.0,1.0,1.0
n7179,n9917,4,1.0,1.0,1.0
n718,n10185,3,0.75,1.0,0.875
n7180,n8212,4,1.0,1.0,1.0
n7181,n8535,4,1.0,1.0,1.0
n7182,n13846,4,1.0,1.0,1.0
n7183,n10233,3,0.75,1.0,0.875
n7184,n10708,4,1.0,1.0,1.0
n7185,n10715,3,0.75,1.0,0.875
n7186,n11037,4,1.0,1.0,1.0
n7187,n445,4,1.0,1.0,1.0
n7188,n11088,4,1.0,1.0,1.0
n7189,n12008,3,0.75,1.0,0.875
n719,n10191,4,1.0,1.0,1.0
n7190,n5385,3,0.75,1.0,0.875
n7191,n14203,4,1.0,1.0,1.0
n7192,n11120,4,1.0,1.0,1.0
n7193,n14211,3,0.75,1.0,0.875
n7194,n10916,4,1.0,1.0,1.0
n7195,n14213,4,1.0,1.0,1.0
n7196,n14226,4,1.0,1.0,1.0
n7197,n11160,4,1.0,1.0,1.0
n7198,n11371,4,1.0,1.0,1.0
n7199,n11461,4,1.0,1.0,1.0
n72,n755,4,1.0,1.0,1.0
n720,n10199,3,0.75,1.0,0.875
n7200,n11175,4,1.0,1.0,1.0
n7201,n14406,4,1.0,1.0,1.0
n7202,n7473,4,1.0,1.0,1.0
n7203,n14445,3,0.75,1.0,0.875
n7204,n14242,4,1.0,1.0,1.0
n7205,n11462,4,1.0,1.0,1.0
n7206,n11994,4,1.0,1.0,1.0
n7207,n12152,4,1.0,1.0,1.0
n7208,n12167,3,0.75,1.0,0.875
n7209,n12307,4,1.0,1.0,1.0
n721,n10346,4,1.0,1.0,1.0
n7210,n14252,3,0.75,1.0,0.875
n7211,n12406,4,1.0,1.0,1.0
n7212,n11223,4,1.0,1.0,1.0
n7213,n6616,4,1.0,1.0,1.0
n7214,n12584,3,0.75,1.0,0.875
n7215,n6837,4,1.0,1.0,1.0
n7216,n14754,4,1.0,1.0,1.0
n7217,n11248,4,1.0,1.0,1.0
n7218,n14844,4,1.0,1.0,1.0
n7219,n13559,4,1.0,1.0,1.0
n722,n7649,4,1.0,1.0,1.0
n7220,n14280,4,1.0,1.0,1.0
n7221,n10012,4,1.0,1.0,1.0
n7222,n14285,4,1.0,1.0,1.0
n7223,n15050,3,0.75,1.0,0.875
n7224,n10835,3,0.75,1.0,0.875
n7224,n15072,3,0.75,1.0,0.875
n7225,n11011,4,1.0,1.0,1.0
n7226,n15094,4,1.0,1.0,1.0
n7227,n14449,3,0.75,1.0,0.875
n7228,n11308,4,1.0,1.0,1.0
n7229,n15166,4,1.0,1.0,1.0
n723,n10228,4,1.0,1.0,1.0
n7230,n11938,4,1.0,1.0,1.0
n7231,n5268,4,1.0,1.0,1.0
n7232,n11341,4,1.0,1.0,1.0
n7233,n14310,3,0.75,1.0,0.875
n7234,n15467,4,1.0,1.0,1.0
n7235,n14320,4,1.0,1.0,1.0
n7235,n15270,4,1.0,1.0,1.0
n7236,n11370,4,1.0,1.0,1.0
n7237,n375,4,1.0,1.0,1.0
n7238,n3141,4,1.0,1.0,1.0
n7239,n370,3,0.75,1.0,0.875
n724,n10679,4,1.0,1.0,1.0
n7240,n372,3,0.75,1.0,0.875
n7241,n4919,4,1.0,1.0,1.0
n7242,n3903,4,1.0,1.0,1.0
n7243,n484,4,1.0,1.0,1.0
n7244,n548,4,1.0,1.0,1.0
n7245,n8781,3,0.75,1.0,0.875
n7246,n9806,3,0.75,1.0,0.875
n7247,n13358,4,1.0,1.0,1.0
n7248,n11527,4,1.0,1.0,1.0
n7249,n11917,4,1.0,1.0,1.0
n725,n1674,4,1.0,1.0,1.0
n7250,n13147,4,1.0,1.0,1.0
n7251,n14381,4,1.0,1.0,1.0
n7252,n967,4,1.0,1.0,1.0
n7253,n3866,4,1.0,1.0,1.0
n7254,n11611,3,0.75,1.0,0.875
n7255,n1219,4,1.0,1.0,1.0
n7256,n3024,4,1.0,1.0,1.0
n7257,n12051,4,1.0,1.0,1.0
n7258,n1254,4,1.0,1.0,1.0
n7259,n5038,4,1.0,1.0,1.0
n726,n7930,4,1.0,1.0,1.0
n7260,n1354,4,1.0,1.0,1.0
n7261,n13234,3,0.75,1.0,0.875
n7262,n1484,4,1.0,1.0,1.0
n7263,n6189,4,1.0,1.0,1.0
n7264,n285,4,1.0,1.0,1.0
n7265,n14418,4,1.0,1.0,1.0
n7266,n11697,3,0.75,1.0,0.875
n7267,n1675,4,1.0,1.0,1.0
n7268,n14432,4,1.0,1.0,1.0
n7269,n7707,3,0.75,1.0,0.875
n727,n10585,4,1.0,1.0,1.0
n7270,n14443,4,1.0,1.0,1.0
n7271,n7574,4,1.0,1.0,1.0
n7272,n14460,4,1.0,1.0,1.0
n7273,n2552,4,1.0,1.0,1.0
n7274,n14468,4,1.0,1.0,1.0
n7275,n6762,4,1.0,1.0,1.0
n7276,n11890,4,1.0,1.0,1.0
n7277,n11295,3,0.75,1.0,0.875
n7278,n3134,4,1.0,1.0,1.0
n7279,n11758,4,1.0,1.0,1.0
n728,n10283,3,0.75,1.0,0.875
n7280,n14497,3,0.75,1.0,0.875
n7281,n11955,4,1.0,1.0,1.0
n7282,n14505,4,1.0,1.0,1.0
n7283,n14509,4,1.0,1.0,1.0
n7284,n14521,3,0.75,1.0,0.875
n7285,n12000,3,0.75,1.0,0.875
n7286,n12021,4,1.0,1.0,1.0
n7287,n3674,4,1.0,1.0,1.0
n7288,n7664,4,1.0,1.0,1.0
n7289,n15162,4,1.0,1.0,1.0
n729,n691,4,1.0,1.0,1.0
n7290,n15199,4,1.0,1.0,1.0
n7291,n12196,4,1.0,1.0,1.0
n7292,n861,4,1.0,1.0,1.0
n7293,n12110,4,1.0,1.0,1.0
n7294,n14557,4,1.0,1.0,1.0
n7295,n1013,4,1.0,1.0,1.0
n7295,n14566,4,1.0,1.0,1.0
n7296,n4133,4,1.0,1.0,1.0
n7297,n1246,4,1.0,1.0,1.0
n7298,n5922,4,1.0,1.0,1.0
n7299,n1598,3,0.75,1.0,0.875
n73,n10793,4,1.0,1.0,1.0
n730,n2471,4,1.0,1.0,1.0
n730,n4590,4,1.0,1.0,1.0
n7300,n14596,4,1.0,1.0,1.0
n7301,n5024,4,1.0,1.0,1.0
n7302,n2201,4,1.0,1.0,1.0
n7303,n4522,4,1.0,1.0,1.0
n7304,n2416,4,1.0,1.0,1.0
n7305,n9703,3,0.75,1.0,0.875
n7306,n12261,4,1.0,1.0,1.0
n7307,n2787,3,0.75,1.0,0.875
n7308,n14340,4,1.0,1.0,1.0
n7309,n4768,4,1.0,1.0,1.0
n731,n12343,4,1.0,1.0,1.0
n7310,n14611,3,0.75,1.0,0.875
