source,target,haplotype_count,path_support_fraction,source_transition_agreement,consistency_score
n7943,n5801,14,1.0,1.0,1.0
n7944,n12677,14,1.0,1.0,1.0
n7945,n7398,14,1.0,1.0,1.0
n7946,n2537,14,1.0,1.0,1.0
n7947,n2627,13,0.9285714285714286,1.0,0.9642857142857143
n7948,n7021,13,0.9285714285714286,1.0,0.9642857142857143
n7949,n10031,14,1.0,1.0,1.0
n795,n14702,14,1.0,1.0,1.0
n7950,n10341,14,1.0,1.0,1.0
n7951,n7149,14,1.0,1.0,1.0
n7952,n7247,14,1.0,1.0,1.0
n7953,n7435,14,1.0,1.0,1.0
n7954,n6079,1,0.07142857142857142,1.0,0.5357142857142857
n7955,n13799,14,1.0,1.0,1.0
n7956,n1517,14,1.0,1.0,1.0
n7957,n10385,13,0.9285714285714286,1.0,0.9642857142857143
n7958,n10390,14,1.0,1.0,1.0
n7959,n12277,14,1.0,1.0,1.0
n796,n15270,14,1.0,1.0,1.0
n7960,n6226,14,1.0,1.0,1.0
n7961,n11172,14,1.0,1.0,1.0
n7962,n1535,14,1.0,1.0,1.0
n7963,n1537,14,1.0,1.0,1.0
n7964,n11547,14,1.0,1.0,1.0
n7965,n805,14,1.0,1.0,1.0
n7966,n3171,14,1.0,1.0,1.0
n7967,n898,14,1.0,1.0,1.0
n7968,n11637,14,1.0,1.0,1.0
n7969,n4384,14,1.0,1.0,1.0
n797,n15355,14,1.0,1.0,1.0
n7970,n11830,14,1.0,1.0,1.0
n7971,n2501,14,1.0,1.0,1.0
n7972,n13143,13,0.9285714285714286,1.0,0.9642857142857143
n7973,n6480,14,1.0,1.0,1.0
n7974,n6502,13,0.9285714285714286,1.0,0.9642857142857143
n7975,n4331,13,0.9285714285714286,1.0,0.9642857142857143
n7976,n9201,14,1.0,1.0,1.0
n7977,n11264,14,1.0,1.0,1.0
n7978,n6580,14,1.0,1.0,1.0
n7979,n12427,14,1.0,1.0,1.0
n798,n11123,14,1.0,1.0,1.0
n7980,n12493,14,1.0,1.0,1.0
n7981,n6609,14,1.0,1.0,1.0
n7982,n1585,14,1.0,1.0,1.0
n7983,n6274,14,1.0,1.0,1.0
n7984,n6468,13,0.9285714285714286,1.0,0.9642857142857143
n7985,n1597,13,0.9285714285714286,1.0,0.9642857142857143
n7986,n6727,13,0.9285714285714286,1.0,0.9642857142857143
n7987,n1604,14,1.0,1.0,1.0
n7988,n1607,14,1.0,1.0,1.0
n7989,n1616,14,1.0,1.0,1.0
n799,n15471,14,1.0,1.0,1.0
n7990,n13222,14,1.0,1.0,1.0
n7991,n6846,14,1.0,1.0,1.0
n7992,n6875,13,0.9285714285714286,1.0,0.9642857142857143
n7993,n3047,14,1.0,1.0,1.0
n7994,n4701,14,1.0,1.0,1.0
n7995,n1654,14,1.0,1.0,1.0
n7996,n9756,13,0.9285714285714286,1.0,0.9642857142857143
n7997,n1661,13,0.9285714285714286,1.0,0.9642857142857143
n7998,n7075,14,1.0,1.0,1.0
n7999,n9412,14,1.0,1.0,1.0
n8,n171,14,1.0,1.0,1.0
n8,n172,14,1.0,1.0,1.0
n8,n60,14,1.0,1.0,1.0
n80,n435,14,1.0,1.0,1.0
n800,n12051,14,1.0,1.0,1.0
n8000,n13955,14,1.0,1.0,1.0
n8001,n1671,14,1.0,1.0,1.0
n8002,n14845,14,1.0,1.0,1.0
n8003,n11471,14,1.0,1.0,1.0
n8004,n14091,14,1.0,1.0,1.0
n8005,n1679,13,0.9285714285714286,1.0,0.9642857142857143
n8006,n14139,13,0.9285714285714286,1.0,0.9642857142857143
n8007,n14262,14,1.0,1.0,1.0
n8008,n15322,13,0.9285714285714286,1.0,0.9642857142857143
n8009,n1092,13,0.9285714285714286,1.0,0.9642857142857143
n801,n132,14,1.0,1.0,1.0
n801,n3016,14,1.0,1.0,1.0
n8010,n1590,14,1.0,1.0,1.0
n8011,n1975,14,1.0,1.0,1.0
n8012,n12000,14,1.0,1.0,1.0
n8013,n1719,14,1.0,1.0,1.0
n8014,n14669,14,1.0,1.0,1.0
n8015,n5963,13,0.9285714285714286,1.0,0.9642857142857143
n8016,n12491,14,1.0,1.0,1.0
n8017,n14192,13,0.9285714285714286,1.0,0.9642857142857143
n8018,n1743,14,1.0,1.0,1.0
n8019,n13482,13,0.9285714285714286,1.0,0.9642857142857143
n802,n11436,14,1.0,1.0,1.0
n8020,n14995,14,1.0,1.0,1.0
n8021,n11294,13,0.9285714285714286,1.0,0.9642857142857143
n8022,n9175,14,1.0,1.0,1.0
n8023,n15011,14,1.0,1.0,1.0
n8024,n9884,14,1.0,1.0,1.0
n8025,n1774,14,1.0,1.0,1.0
n8026,n14,14,1.0,1.0,1.0
n8027,n29,14,1.0,1.0,1.0
n8028,n7598,14,1.0,1.0,1.0
n8029,n913,14,1.0,1.0,1.0
n803,n11445,14,1.0,1.0,1.0
n8030,n833,14,1.0,1.0,1.0
n8031,n3176,14,1.0,1.0,1.0
n8032,n7653,14,1.0,1.0,1.0
n8033,n3526,14,1.0,1.0,1.0
n8034,n354,14,1.0,1.0,1.0
n8035,n7683,13,0.9285714285714286,1.0,0.9642857142857143
n8036,n1823,13,0.9285714285714286,1.0,0.9642857142857143
n8037,n1865,14,1.0,1.0,1.0
n8038,n1846,14,1.0,1.0,1.0
n8039,n700,14,1.0,1.0,1.0
n804,n6410,14,1.0,1.0,1.0
n8040,n9510,13,0.9285714285714286,1.0,0.9642857142857143
n8041,n10324,14,1.0,1.0,1.0
n8042,n1859,13,0.9285714285714286,1.0,0.9642857142857143
n8043,n12682,13,0.9285714285714286,1.0,0.9642857142857143
n8044,n6188,14,1.0,1.0,1.0
n8045,n8635,13,0.9285714285714286,1.0,0.9642857142857143
n8046,n3540,14,1.0,1.0,1.0
n8047,n7822,14,1.0,1.0,1.0
n8048,n1880,14,1.0,1.0,1.0
n8049,n990,14,1.0,1.0,1.0
n805,n179,14,1.0,1.0,1.0
n8050,n7835,14,1.0,1.0,1.0
n8051,n7836,14,1.0,1.0,1.0
n8052,n1886,14,1.0,1.0,1.0
n8053,n1371,13,0.9285714285714286,1.0,0.9642857142857143
n8054,n7870,13,0.9285714285714286,1.0,0.9642857142857143
n8055,n10235,13,0.9285714285714286,0.9285714285714286,0.9285714285714286
n8055,n7886,14,1.0,1.0,1.0
n8056,n1214,13,0.9285714285714286,1.0,0.9642857142857143
n8057,n6747,14,1.0,1.0,1.0
n8058,n5638,13,0.9285714285714286,0.9285714285714286,0.9285714285714286
n8058,n7939,14,1.0,1.0,1.0
n8059,n1914,13,0.9285714285714286,1.0,0.9642857142857143
n806,n234,14,1.0,1.0,1.0
n8060,n6096,14,1.0,1.0,1.0
n8061,n6103,14,1.0,1.0,1.0
n8062,n3783,14,1.0,1.0,1.0
n8063,n10755,13,0.9285714285714286,1.0,0.9642857142857143
n8064,n6431,14,1.0,1.0,1.0
n8065,n6730,14,1.0,1.0,1.0
n8066,n1929,14,1.0,1.0,1.0
n8067,n13250,14,1.0,1.0,1.0
n8068,n1937,14,1.0,1.0,1.0
n8069,n1814,14,1.0,1.0,1.0
n807,n236,14,1.0,1.0,1.0
n8070,n1946,1,0.07142857142857142,1.0,0.5357142857142857
n8071,n8037,14,1.0,1.0,1.0
n8072,n1949,14,1.0,1.0,1.0
n8073,n8067,14,1.0,1.0,1.0
n8074,n8075,14,1.0,1.0,1.0
n8075,n1962,14,1.0,1.0,1.0
n8075,n2455,14,1.0,1.0,1.0
n8076,n2463,14,1.0,1.0,1.0
n8077,n2064,14,1.0,1.0,1.0
n8078,n3485,14,1.0,1.0,1.0
n8079,n3536,14,1.0,1.0,1.0
n808,n3036,14,1.0,1.0,1.0
n8080,n2100,14,1.0,1.0,1.0
n8081,n8620,14,1.0,1.0,1.0
n8082,n8815,14,1.0,1.0,1.0
n8083,n408,14,1.0,1.0,1.0
n8084,n1999,14,1.0,1.0,1.0
n8085,n2004,13,0.9285714285714286,1.0,0.9642857142857143
n8086,n10976,13,0.9285714285714286,1.0,0.9642857142857143
n8087,n2773,14,1.0,1.0,1.0
n8088,n2873,13,0.9285714285714286,1.0,0.9642857142857143
n8089,n2036,14,1.0,1.0,1.0
n809,n376,14,1.0,1.0,1.0
n8090,n8330,14,1.0,1.0,1.0
n8091,n11271,14,1.0,1.0,1.0
n8092,n15141,13,0.9285714285714286,1.0,0.9642857142857143
n8093,n3015,14,1.0,1.0,1.0
n8094,n8352,14,1.0,1.0,1.0
n8095,n4036,14,1.0,1.0,1.0
n8096,n4717,14,1.0,1.0,1.0
n8097,n2068,14,1.0,1.0,1.0
n8098,n8392,14,1.0,1.0,1.0
n8099,n12373,14,1.0,1.0,1.0
n81,n1731,14,1.0,1.0,1.0
n810,n1189,14,1.0,1.0,1.0
n8100,n8399,14,1.0,1.0,1.0
n8101,n4012,13,0.9285714285714286,1.0,0.9642857142857143
n8102,n8419,14,1.0,1.0,1.0
n8103,n3486,14,1.0,1.0,1.0
n8104,n9244,13,0.9285714285714286,1.0,0.9642857142857143
n8105,n13800,14,1.0,1.0,1.0
n8106,n3549,14,1.0,1.0,1.0
n8107,n8441,13,0.9285714285714286,1.0,0.9642857142857143
n8108,n14059,14,1.0,1.0,1.0
n8109,n5582,14,1.0,1.0,1.0
n811,n519,13,0.9285714285714286,1.0,0.9642857142857143
n8110,n14963,14,1.0,1.0,1.0
n8111,n14765,13,0.9285714285714286,1.0,0.9642857142857143
n8112,n2114,14,1.0,1.0,1.0
n8113,n2116,13,0.9285714285714286,1.0,0.9642857142857143
n8114,n14008,14,1.0,1.0,1.0
n8115,n8498,14,1.0,1.0,1.0
n8116,n713,14,1.0,1.0,1.0
n8117,n4140,14,1.0,1.0,1.0
n8118,n2142,14,1.0,1.0,1.0
n8119,n2149,14,1.0,1.0,1.0
n8119,n4264,14,1.0,1.0,1.0
n812,n1769,14,1.0,1.0,1.0
n8120,n7635,14,1.0,1.0,1.0
n8121,n2159,13,0.9285714285714286,1.0,0.9642857142857143
n8122,n1863,14,1.0,1.0,1.0
n8123,n2161,14,1.0,1.0,1.0
n8124,n2164,14,1.0,1.0,1.0
n8125,n8599,14,1.0,1.0,1.0
n8126,n4604,13,0.9285714285714286,1.0,0.9642857142857143
n8127,n8667,13,0.9285714285714286,1.0,0.9642857142857143
n8128,n2645,14,1.0,1.0,1.0
n8129,n10296,14,1.0,1.0,1.0
n813,n2374,14,1.0,1.0,1.0
n8130,n4692,13,0.9285714285714286,1.0,0.9642857142857143
n8131,n4698,14,1.0,1.0,1.0
n8132,n4700,1,0.07142857142857142,1.0,0.5357142857142857
n8133,n4706,13,0.9285714285714286,1.0,0.9642857142857143
n8134,n8705,14,1.0,1.0,1.0
n8135,n3385,14,1.0,1.0,1.0
n8136,n3709,13,0.9285714285714286,1.0,0.9642857142857143
n8137,n2198,14,1.0,1.0,1.0
n8138,n442,14,1.0,1.0,1.0
n8139,n1344,14,1.0,1.0,1.0
n814,n7496,14,1.0,1.0,1.0
n8140,n8787,14,1.0,1.0,1.0
n8141,n1515,14,1.0,1.0,1.0
n8142,n4629,14,1.0,1.0,1.0
n8143,n13003,14,1.0,1.0,1.0
n8144,n4505,14,1.0,1.0,1.0
n8145,n2243,13,0.9285714285714286,1.0,0.9642857142857143
n8146,n5521,14,1.0,1.0,1.0
n8147,n12569,13,0.9285714285714286,1.0,0.9642857142857143
n8148,n6772,14,1.0,1.0,1.0
n8149,n2296,14,1.0,1.0,1.0
n815,n11219,14,1.0,1.0,1.0
n8150,n6164,13,0.9285714285714286,0.9285714285714286,0.9285714285714286
n8150,n6165,1,0.07142857142857142,0.07142857142857142,0.07142857142857142
n8151,n2306,14,1.0,1.0,1.0
n8152,n2327,14,1.0,1.0,1.0
n8153,n3799,14,1.0,1.0,1.0
n8154,n2332,13,0.9285714285714286,1.0,0.9642857142857143
n8155,n12551,14,1.0,1.0,1.0
n8156,n2337,13,0.9285714285714286,1.0,0.9642857142857143
n8157,n7413,14,1.0,1.0,1.0
n8158,n2351,14,1.0,1.0,1.0
n8159,n284,14,1.0,1.0,1.0
n816,n10526,13,0.9285714285714286,1.0,0.9642857142857143
n8160,n9223,14,1.0,1.0,1.0
n8161,n6856,14,1.0,1.0,1.0
n8162,n2344,13,0.9285714285714286,0.9285714285714286,0.9285714285714286
n8162,n6861,14,1.0,1.0,1.0
n8163,n9782,13,0.9285714285714286,1.0,0.9642857142857143
n8164,n14019,14,1.0,1.0,1.0
n8165,n10537,14,1.0,1.0,1.0
