mapq_cutoff,retained_alignment_count,retained_alignment_fraction,mean_identity,mean_coverage,mean_alignment_score,mean_normalized_score
0,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
1,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
2,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
3,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
4,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
5,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
6,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
7,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
8,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
9,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
10,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
11,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
12,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
13,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
14,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
15,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
16,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
17,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
18,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
19,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
20,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
21,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
22,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
23,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
24,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
25,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
26,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
27,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
28,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
29,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
30,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
31,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
32,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
33,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
34,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
35,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
36,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
37,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
38,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
39,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
40,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
41,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
42,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
43,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
44,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
45,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
46,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
47,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
48,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
49,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
50,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
51,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
52,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
53,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
54,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
55,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
56,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
57,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
58,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
59,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
60,46,1.0,0.9999767438317657,0.9999854009028109,128882.56521739131,0.9999621425136709
